Node	HOG	change	pvalue	direction	source
24	N0.HOG0000242	1	0.0126519	expansion	main_model
24	N0.HOG0000211	1	0.0168653	expansion	main_model
24	N0.HOG0001179	1	0.0168653	expansion	main_model
24	N0.HOG0000155	-1	0.0248856	contraction	main_model
24	N0.HOG0000322	-1	0.0248856	contraction	main_model
24	N0.HOG0000396	-1	0.0248856	contraction	main_model
24	N0.HOG0000496	-1	0.0248856	contraction	main_model
24	N0.HOG0000527	-1	0.0248856	contraction	main_model
24	N0.HOG0000573	-1	0.0248856	contraction	main_model
24	N0.HOG0000595	-1	0.0248856	contraction	main_model
24	N0.HOG0001071	-1	0.0248856	contraction	main_model
24	N0.HOG0001531	-1	0.0248856	contraction	main_model
24	N0.HOG0000054	-1	0.036915	contraction	main_model
24	N0.HOG0000207	-1	0.036915	contraction	main_model
25	N0.HOG0000114	6	2.43212e-08	expansion	main_model
25	N0.HOG0000504	3	8.39423e-05	expansion	main_model
25	N0.HOG0000742	-2	0.000787241	contraction	main_model
25	N0.HOG0000042	3	0.00101874	expansion	main_model
25	N0.HOG0000061	-2	0.00217099	contraction	main_model
25	N0.HOG0000373	-2	0.00217099	contraction	main_model
25	N0.HOG0000155	2	0.00304223	expansion	main_model
25	N0.HOG0000814	2	0.00304223	expansion	main_model
25	N0.HOG0000162	2	0.00695568	expansion	main_model
25	N0.HOG0000442	1	0.0176761	expansion	main_model
25	N0.HOG0000484	1	0.0176761	expansion	main_model
25	N0.HOG0000744	1	0.0176761	expansion	main_model
25	N0.HOG0000794	1	0.0176761	expansion	main_model
25	N0.HOG0000808	1	0.0176761	expansion	main_model
25	N0.HOG0000817	1	0.0176761	expansion	main_model
25	N0.HOG0000854	1	0.0176761	expansion	main_model
25	N0.HOG0001139	1	0.0176761	expansion	main_model
25	N0.HOG0001157	1	0.0176761	expansion	main_model
25	N0.HOG0001246	1	0.0176761	expansion	main_model
25	N0.HOG0001284	1	0.0176761	expansion	main_model
25	N0.HOG0001351	1	0.0176761	expansion	main_model
25	N0.HOG0001384	1	0.0176761	expansion	main_model
25	N0.HOG0010095	1	0.0176761	expansion	main_model
25	N0.HOG0000069	2	0.0330191	expansion	main_model
25	N0.HOG0000094	1	0.0353568	expansion	main_model
25	N0.HOG0000223	1	0.0353568	expansion	main_model
26	N0.HOG0003653	2	0.000336893	expansion	main_model
26	N0.HOG0000162	2	0.0103297	expansion	main_model
26	N0.HOG0000333	1	0.0129743	expansion	main_model
26	N0.HOG0000882	1	0.0129743	expansion	main_model
26	N0.HOG0000955	1	0.0129743	expansion	main_model
26	N0.HOG0001199	1	0.0129743	expansion	main_model
26	N0.HOG0001221	1	0.0129743	expansion	main_model
26	N0.HOG0001236	1	0.0129743	expansion	main_model
26	N0.HOG0001295	1	0.0129743	expansion	main_model
26	N0.HOG0001480	1	0.0129743	expansion	main_model
26	N0.HOG0001605	1	0.0129743	expansion	main_model
26	N0.HOG0009002	1	0.0129743	expansion	main_model
26	N0.HOG0000382	1	0.02595	expansion	main_model
26	N0.HOG0000464	1	0.02595	expansion	main_model
26	N0.HOG0000602	1	0.02595	expansion	main_model
26	N0.HOG0000614	1	0.02595	expansion	main_model
26	N0.HOG0000005	-1	0.038275	contraction	main_model
26	N0.HOG0000008	-1	0.038275	contraction	main_model
26	N0.HOG0000046	-1	0.038275	contraction	main_model
26	N0.HOG0000051	-1	0.038275	contraction	main_model
26	N0.HOG0000053	-1	0.038275	contraction	main_model
26	N0.HOG0000061	-1	0.038275	contraction	main_model
26	N0.HOG0000087	-1	0.038275	contraction	main_model
26	N0.HOG0000098	-1	0.038275	contraction	main_model
26	N0.HOG0000186	-1	0.038275	contraction	main_model
26	N0.HOG0000228	-1	0.038275	contraction	main_model
26	N0.HOG0000233	-1	0.038275	contraction	main_model
26	N0.HOG0000264	-1	0.038275	contraction	main_model
26	N0.HOG0000373	-1	0.038275	contraction	main_model
26	N0.HOG0000435	-1	0.038275	contraction	main_model
26	N0.HOG0000708	-1	0.038275	contraction	main_model
26	N0.HOG0000732	-1	0.038275	contraction	main_model
26	N0.HOG0000766	-1	0.038275	contraction	main_model
26	N0.HOG0000863	-1	0.038275	contraction	main_model
26	N0.HOG0000872	-1	0.038275	contraction	main_model
26	N0.HOG0001319	-1	0.038275	contraction	main_model
26	N0.HOG0001779	-1	0.038275	contraction	main_model
26	N0.HOG0001933	-1	0.038275	contraction	main_model
26	N0.HOG0007848	-1	0.038275	contraction	main_model
26	N0.HOG0008384	-1	0.038275	contraction	main_model
26	N0.HOG0008689	-1	0.038275	contraction	main_model
26	N0.HOG0008893	-1	0.038275	contraction	main_model
26	N0.HOG0008955	-1	0.038275	contraction	main_model
26	N0.HOG0009224	-1	0.038275	contraction	main_model
26	N0.HOG0009245	-1	0.038275	contraction	main_model
26	N0.HOG0009523	-1	0.038275	contraction	main_model
26	N0.HOG0009638	-1	0.038275	contraction	main_model
26	N0.HOG0009661	-1	0.038275	contraction	main_model
26	N0.HOG0009720	-1	0.038275	contraction	main_model
