focus_node	focus_label	HOG	OG	change	pvalue	msa_file	tree_file	msa_found	tree_found
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000690	OG0000529	1	0.018693	""	OG0000529_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000765	OG0000593	1	0.018693	""	OG0000593_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000769	OG0000596	1	0.018693	""	OG0000596_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000770	OG0000597	1	0.018693	""	OG0000597_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000814	OG0000632	1	0.018693	""	OG0000632_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000815	OG0000633	1	0.018693	""	OG0000633_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000841	OG0000654	1	0.018693	""	OG0000654_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000858	OG0000669	1	0.018693	""	OG0000669_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000865	OG0000674	1	0.018693	""	OG0000674_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000881	OG0000683	1	0.018693	""	OG0000683_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000894	OG0000695	1	0.018693	""	OG0000695_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000895	OG0000696	1	0.018693	""	OG0000696_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000901	OG0000702	1	0.018693	""	OG0000702_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000947	OG0000744	1	0.018693	""	OG0000744_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000957	OG0000754	1	0.018693	""	OG0000754_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0001035	OG0000815	1	0.018693	""	OG0000815_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0001062	OG0000836	1	0.018693	""	OG0000836_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0001071	OG0000844	1	0.018693	""	OG0000844_tree.txt	FALSE	TRUE
