FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000090	0.727095	0.237195	0.608358	0.57475	0.546868	0.546868	0.107496	0.542683	0.542683	0.545013	0.545013	0.573393	0.132099	0.00104334	0.0361444	0.068053	0.377743	N/A	0.582267	0.0559699	0.605541	0.568286	0.543032	0.532359	0.619166	0.591441	1.78273e-08	0.531168	1.10492e-06	0.532732	0.548911	0.526172	0.540899
N0.HOG0000091	0.264212	0.589155	0.559353	0.539708	0.524313	0.524313	0.0565414	0.514877	0.514877	0.51573	0.0236165	0.52649	0.000359163	0.052391	0.0180999	0.12093	0.288995	N/A	0.557342	0.569477	0.557656	0.53607	0.522253	0.51659	0.565956	0.549305	0.0146933	0.515964	0.0284164	0.511287	0.525416	0.513352	0.527851
N0.HOG0000094	0.264212	0.589155	0.559353	0.539708	0.524313	0.524313	0.554922	0.514877	3.92146e-05	0.51573	0.51573	0.52649	0.567841	0.566232	0.566232	0.69156	0.12093	N/A	0.557342	0.569477	0.557656	0.53607	0.522253	0.51659	0.0353568	0.571192	0.54189	0.523658	0.57731	0.511287	0.537394	0.0101495	0.527851
N0.HOG0000097	0.792904	0.280053	0.078282	0.0515102	0.55753	9.32839e-08	0.586502	0.012615	0.524427	0.525804	0.525804	0.542979	0.00318206	0.580662	0.122135	0.377743	0.744327	N/A	0.00521162	0.648231	0.626406	0.583093	0.552903	0.53995	0.641866	0.61019	0.566888	0.538497	0.618869	0.518598	0.559989	0.53239	0.540899
N0.HOG0000098	0.264212	7.66599e-05	0.00271212	0.00591108	2.86929e-09	1.33155e-08	0.5	0.5	0.5	0.00798461	0.505328	0.0135898	0.5	0.5	0.5	0.69156	0.69156	N/A	0.557342	0.569477	2.74863e-09	0.622921	0.580592	0.561611	0.0989778	0.038275	0.5	0.50808	0.528033	0.503805	0.0193959	0.5	0.527851
N0.HOG0000099	0.764823	0.65523	0.608358	0.590714	0.55753	0.55753	0.586502	0.524427	0.0367335	0.520807	0.0312674	0.534847	0.587298	0.551002	0.551002	0.69156	0.69156	N/A	0.00226407	0.624829	0.605541	0.568286	0.0227487	0.53995	0.619166	0.0517411	0.566888	0.531168	0.598964	0.514963	0.548911	0.0393486	0.527851
N0.HOG0000100	0.792904	0.318114	0.0934458	0.605734	0.567805	0.567805	0.600969	0.529094	0.529094	0.530722	0.530722	0.550894	0.160134	0.580662	3.45943e-05	0.444645	0.229953	N/A	0.0606408	0.0923831	0.645485	0.597103	0.562445	0.547352	0.662349	0.627563	0.578591	0.545651	0.637184	0.522192	0.106915	0.53239	0.553397
N0.HOG0000103	0.151523	0.624611	0.128282	0.0869825	0.0186877	0.535801	0.107496	0.538221	0.0011159	0.545013	0.0240084	0.573393	0.0703554	0.534923	0.000186487	0.0601581	0.16829	N/A	0.530008	0.000699837	0.582696	0.55263	0.53282	0.524574	0.593968	0.0388844	8.07083e-07	0.523658	6.70435e-09	0.532732	0.0562189	0.513352	0.514228
N0.HOG0000104	0.764823	0.624611	0.0473042	0.0869825	0.535801	0.535801	0.0391116	0.519688	0.0295826	0.510571	0.510571	0.52649	0.587298	0.566232	0.0999792	0.781489	0.0161996	N/A	0.605018	0.624829	0.160073	0.55263	0.53282	0.524574	0.619166	0.591441	0.554663	0.531168	0.149969	0.0169407	0.548911	0.526172	0.553397
N0.HOG0000106	0.415679	0.681754	0.629619	0.590714	0.546868	0.546868	0.600969	0.529094	0.0151355	0.535561	0.535561	0.550894	0.605383	0.566232	0.566232	0.0161996	0.444645	N/A	0.605018	0.0743267	0.626406	0.583093	0.552903	0.0601826	0.641866	0.0644889	0.578591	0.538497	0.0705398	0.011435	0.559989	0.0487519	0.553397
N0.HOG0000112	0.602993	0.0713534	0.531113	0.520478	0.512386	0.512386	0.00979517	0.505035	0.505035	0.505328	0.505328	0.509074	0.0363393	0.0090498	0.517942	0.614679	0.614679	N/A	0.530008	0.536738	0.53018	0.518548	0.511318	0.508401	0.53477	0.525629	0.514588	0.50808	0.528033	0.503805	0.512959	0.506744	0.514228
N0.HOG0000113	0.207241	0.65523	0.164407	0.57475	0.0016329	0.546868	0.571172	0.514877	0.514877	0.00801255	0.51573	0.52649	0.0490973	0.566232	0.566232	0.444645	0.0161996	N/A	0.605018	0.624829	0.605541	0.568286	0.543032	0.532359	0.619166	0.591441	0.0824132	0.531168	0.149969	0.511287	0.548911	0.526172	0.553397
N0.HOG0000114	0.00191337	0.133847	0.559353	0.00105257	0.524313	0.0364718	0.639726	0.0644037	2.28746e-07	0.000637508	0.549628	0.580499	0.00408184	0.0260334	0.000615131	0.178082	0.178082	N/A	0.582267	0.598701	0.124759	0.53607	0.522253	0.51659	2.43212e-08	0.672519	0.610816	0.0364011	0.697222	0.536166	0.0104642	0.572582	0.540899
