HOG	n_species_present	n_max	n_min	total_genes	differential	exclusion_reason	excluded
N0.HOG0008643	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008722	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008723	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008758	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008826	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008839	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008863	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008912	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008913	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008916	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008917	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0008968	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009012	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009025	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009027	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009029	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009061	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009062	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009063	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009064	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009101	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009107	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009112	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009113	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009115	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009117	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009133	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009147	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009148	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009149	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009150	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009157	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009166	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009171	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009173	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009186	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009187	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009212	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009213	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009214	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009250	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009251	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009252	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009253	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009254	0	0	0	0	0	empty_after_subset	TRUE
N0.HOG0009258	0	0	0	0	0	empty_after_subset	TRUE
