gene_dmel,symbol_dmel,description_dmel,genetype_dmel,highest_tissue_Female,highest_tissue_Larva,highest_tissue_Male,top_log2_enrich_Female,top_log2_enrich_Larva,top_log2_enrich_Male,tau_Female,tau_Larva,tau_Male
FBgn0037167,CG11425,NA,PROTEIN_CODING,Hindgut,Fat Body,Hindgut,3.6636602029578884,4.249863818165563,3.7191904389854,0.9086965502995249,0.9409451219512195,0.9293462219598583
FBgn0037169,CG11404,NA,PROTEIN_CODING,Ganglion,Fat Body,Fat Body,3.5024784174210013,0.2467935955439807,-2.4867467640729237,0.8988970588235294,1,0.8014652014652014
FBgn0037170,Trxr2,Thioredoxin reductase 2,PROTEIN_CODING,Brain,Fat Body,Brain,2.5849504783326127,0.16992299772285502,-2.807353273264528,0.89375,1,0.8038095238095239
FBgn0037171,CG14459,NA,PROTEIN_CODING,Brain,Fat Body,Brain,5.338797775084309,-1.1699049643729689,3.045744936620404,0.8815406976744187,1,0.900035669698591
FBgn0037172,ND-B14.5AL,NADH dehydrogenase (ubiquinone) B14.5 A subunit-like,PROTEIN_CODING,Brain,Fat Body,Fat Body,19.375177342408584,-0.374394293456369,-3.8487048337479783,0.8823529411764706,1,0.6788874841972187
FBgn0037174,Jhbp6,Juvenile hormone binding protein 6,PROTEIN_CODING,Midgut,Midgut,Midgut,3.5375936309757585,1.8623297755837789,3.740879193315933,0.9862316421895861,0.9942965779467681,0.9832752613240417
FBgn0037175,CG14455,NA,PROTEIN_CODING,Tubule,Fat Body,Ganglion,14.287784512498185,0,-2.115440225998197,0.9375,NA,1
FBgn0037176,CG14456,NA,PROTEIN_CODING,Fat Body,Fat Body,Midgut,0.8144439176448196,-0.03847409650975959,-2.8132297206334997,0.8642156862745098,0.8074324324324325,0.7408163265306121
FBgn0037177,CG14454,NA,PROTEIN_CODING,Brain,Fat Body,Salivary Gland,0,0,17.609647687893982,NA,NA,0.9785714285714285
FBgn0037178,CG12546,NA,PROTEIN_CODING,Salivary Gland,Fat Body,Salivary Gland,16.609654901315086,0,15.609669328049094,1,NA,1
FBgn0037179,CG14453,NA,PROTEIN_CODING,Fat Body,Fat Body,Salivary Gland,-0.5563906328765501,0,16.457653410847605,0.9411764705882353,NA,0.9682539682539683
FBgn0037180,CG14452,NA,PROTEIN_CODING,Brain,Fat Body,Fat Body,0,0,17.931574340092794,NA,NA,0.9714285714285714
