FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000223	2	2	1	2	1	3	4	3	2	3	3	3	4	4	4	1	3	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	2
N0.HOG0000224	3	5	3	3	1	3	3	3	1	2	2	2	4	3	3	5	4	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	4
N0.HOG0000225	4	2	2	3	3	2	1	3	3	3	3	3	3	3	2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000226	3	2	2	2	2	3	3	3	3	3	2	2	3	3	2	3	2	3	3	3	2	2	2	2	3	3	3	3	2	2	3	3	3
N0.HOG0000227	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000228	0	10	0	8	13	0	0	0	0	1	4	7	1	0	0	1	0	1	1	1	5	5	6	6	1	0	0	1	4	4	1	0	1
N0.HOG0000229	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
N0.HOG0000230	3	3	3	3	3	3	3	3	3	3	3	3	4	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000232	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
N0.HOG0000233	3	1	0	1	1	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1
N0.HOG0000234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000235	0	3	7	2	4	3	2	2	2	3	1	2	3	3	3	3	5	2	2	2	3	3	3	3	2	2	2	2	2	2	3	3	3
N0.HOG0000236	2	4	8	13	12	10	3	3	2	3	3	2	1	1	1	2	6	3	3	3	4	8	11	11	3	3	3	3	3	3	1	1	3
N0.HOG0000237	3	2	3	3	3	3	3	3	3	3	3	3	3	3	4	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000238	1	3	3	3	3	3	3	3	4	3	3	3	3	3	3	2	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2
N0.HOG0000239	3	2	3	2	2	3	3	2	2	2	2	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3
N0.HOG0000240	2	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
N0.HOG0000241	0	4	1	2	1	2	2	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2
N0.HOG0000242	3	3	3	2	4	4	4	2	2	3	2	3	4	3	3	3	2	3	3	3	3	3	3	4	3	3	2	3	3	3	3	3	3
N0.HOG0000244	0	2	1	1	0	1	3	2	1	4	3	3	2	2	2	1	8	2	2	2	2	1	1	1	2	2	2	2	3	3	2	2	2
N0.HOG0000245	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000246	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000249	1	0	0	0	1	1	1	0	0	0	0	0	3	3	2	1	2	1	1	1	1	1	1	1	1	1	0	1	0	0	2	2	1
N0.HOG0000250	3	1	3	2	2	2	2	3	3	3	3	3	3	3	4	3	3	3	3	3	2	2	2	2	3	3	3	3	3	3	3	3	3
N0.HOG0000251	3	2	2	2	5	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
N0.HOG0000252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000253	1	0	2	2	3	2	2	2	2	1	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2
