label	HOG	foreground_top_k	annotation_set
SC_neg	N13.HOG0000925	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001017	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001135	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001184	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001320	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001331	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001404	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001460	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001493	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001517	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001570	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001572	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001708	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001710	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001854	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001862	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001863	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001889	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001895	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001935	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0001986	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002002	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002175	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002203	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002210	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002220	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002221	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002222	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002246	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002269	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002281	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002335	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002351	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002367	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002393	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002425	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002754	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002768	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002852	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002857	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002869	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002954	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002972	300	final_direct_conserved_plus_Dmel_experimental
SC_neg	N13.HOG0002973	300	final_direct_conserved_plus_Dmel_experimental
