GO.ID	Term	ontology	HOG	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment
GO:0009165	nucleotide biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.235610543302851	4.24429223744292
GO:0009259	ribonucleotide metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.401291016675632	2.49195710455764
GO:0009260	ribonucleotide biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.187197417966649	5.34195402298851
GO:0009308	amine metabolic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	1	0.0968262506724045	10.3277777777778
GO:0009309	amine biosynthetic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	1	0.0398063474986552	25.1216216216216
GO:0009445	putrescine metabolic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	1	0.00537923614846692	185.9
GO:0009446	putrescine biosynthetic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	1	0.00430338891877353	232.375
GO:0009593	detection of chemical stimulus	BP	N0.HOG0000050	11	0.000801973	1	1	1	0.092522861753631	10.8081395348837
GO:0009605	response to external stimulus	BP	N0.HOG0000108	8	0.000943866	1	1	3	1.84185045723507	1.62879672897196
GO:0009605	response to external stimulus	BP	N0.HOG0000114	6	2.43212e-08	1	1	3	1.84185045723507	1.62879672897196
GO:0009605	response to external stimulus	BP	N0.HOG0000504	3	8.39423e-05	1	1	3	1.84185045723507	1.62879672897196
GO:0009607	response to biotic stimulus	BP	N0.HOG0000108	8	0.000943866	1	1	2	0.801506186121571	2.49530201342282
GO:0009607	response to biotic stimulus	BP	N0.HOG0000504	3	8.39423e-05	1	1	2	0.801506186121571	2.49530201342282
GO:0009617	response to bacterium	BP	N0.HOG0000108	8	0.000943866	1	1	1	0.388380849919311	2.57479224376731
GO:0009743	response to carbohydrate	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.217321140398063	4.60148514851485
GO:0009744	response to sucrose	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.0344271113501883	29.046875
GO:0009888	tissue development	BP	N0.HOG0000108	8	0.000943866	1	1	2	1.79881656804734	1.11184210526316
GO:0009888	tissue development	BP	N0.HOG0000114	6	2.43212e-08	1	1	2	1.79881656804734	1.11184210526316
GO:0009889	regulation of biosynthetic process	BP	N0.HOG0000042	3	0.00101874	1	1	5	2.81441635287789	1.77656727828746
GO:0009889	regulation of biosynthetic process	BP	N0.HOG0000108	8	0.000943866	1	1	5	2.81441635287789	1.77656727828746
GO:0009889	regulation of biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	5	2.81441635287789	1.77656727828746
GO:0009889	regulation of biosynthetic process	BP	N0.HOG0000155	2	0.00304223	1	1	5	2.81441635287789	1.77656727828746
GO:0009889	regulation of biosynthetic process	BP	N0.HOG0000814	2	0.00304223	1	1	5	2.81441635287789	1.77656727828746
GO:0009890	negative regulation of biosynthetic process	BP	N0.HOG0000042	3	0.00101874	1	1	3	1.56320602474449	1.91913282863042
GO:0009890	negative regulation of biosynthetic process	BP	N0.HOG0000155	2	0.00304223	1	1	3	1.56320602474449	1.91913282863042
GO:0009890	negative regulation of biosynthetic process	BP	N0.HOG0000814	2	0.00304223	1	1	3	1.56320602474449	1.91913282863042
GO:0009891	positive regulation of biosynthetic process	BP	N0.HOG0000042	3	0.00101874	1	1	2	1.57073695535234	1.27328767123288
GO:0009891	positive regulation of biosynthetic process	BP	N0.HOG0000108	8	0.000943866	1	1	2	1.57073695535234	1.27328767123288
GO:0009892	negative regulation of metabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	3	1.98278644432491	1.51302224633749
GO:0009892	negative regulation of metabolic process	BP	N0.HOG0000155	2	0.00304223	1	1	3	1.98278644432491	1.51302224633749
GO:0009892	negative regulation of metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	3	1.98278644432491	1.51302224633749
GO:0009894	regulation of catabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	2	0.747713824636902	2.67482014388489
GO:0009894	regulation of catabolic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	2	0.747713824636902	2.67482014388489
GO:0009895	negative regulation of catabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	1	0.237762237762238	4.20588235294118
GO:0009966	regulation of signal transduction	BP	N0.HOG0000042	3	0.00101874	1	1	1	1.80204410973642	0.554925373134329
GO:0009967	positive regulation of signal transduction	BP	N0.HOG0000042	3	0.00101874	1	1	1	0.953200645508338	1.04909706546275
GO:0009987	cellular process	BP	N0.HOG0000042	3	0.00101874	1	1	8	7.48466917697687	1.06885151645824
GO:0009987	cellular process	BP	N0.HOG0000050	11	0.000801973	1	1	8	7.48466917697687	1.06885151645824
GO:0009987	cellular process	BP	N0.HOG0000108	8	0.000943866	1	1	8	7.48466917697687	1.06885151645824
GO:0009987	cellular process	BP	N0.HOG0000114	6	2.43212e-08	1	1	8	7.48466917697687	1.06885151645824
GO:0009987	cellular process	BP	N0.HOG0000155	2	0.00304223	1	1	8	7.48466917697687	1.06885151645824
GO:0009987	cellular process	BP	N0.HOG0000162	2	0.00695568	1	1	8	7.48466917697687	1.06885151645824
GO:0009987	cellular process	BP	N0.HOG0000504	3	8.39423e-05	1	1	8	7.48466917697687	1.06885151645824
GO:0009987	cellular process	BP	N0.HOG0000814	2	0.00304223	1	1	8	7.48466917697687	1.06885151645824
GO:0010467	gene expression	BP	N0.HOG0000042	3	0.00101874	1	1	4	3.39644970414201	1.17770034843206
GO:0010467	gene expression	BP	N0.HOG0000108	8	0.000943866	1	1	4	3.39644970414201	1.17770034843206
GO:0010467	gene expression	BP	N0.HOG0000155	2	0.00304223	1	1	4	3.39644970414201	1.17770034843206
GO:0010467	gene expression	BP	N0.HOG0000814	2	0.00304223	1	1	4	3.39644970414201	1.17770034843206
GO:0010468	regulation of gene expression	BP	N0.HOG0000042	3	0.00101874	1	1	4	2.58633674018289	1.54658901830283
GO:0010468	regulation of gene expression	BP	N0.HOG0000108	8	0.000943866	1	1	4	2.58633674018289	1.54658901830283
GO:0010468	regulation of gene expression	BP	N0.HOG0000155	2	0.00304223	1	1	4	2.58633674018289	1.54658901830283
GO:0010468	regulation of gene expression	BP	N0.HOG0000814	2	0.00304223	1	1	4	2.58633674018289	1.54658901830283
GO:0010498	proteasomal protein catabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	1	0.404518558364712	2.47207446808511
GO:0010556	regulation of macromolecule biosynthetic process	BP	N0.HOG0000042	3	0.00101874	1	1	4	2.71651425497579	1.47247524752475
GO:0010556	regulation of macromolecule biosynthetic process	BP	N0.HOG0000108	8	0.000943866	1	1	4	2.71651425497579	1.47247524752475
GO:0010556	regulation of macromolecule biosynthetic process	BP	N0.HOG0000155	2	0.00304223	1	1	4	2.71651425497579	1.47247524752475
GO:0010556	regulation of macromolecule biosynthetic process	BP	N0.HOG0000814	2	0.00304223	1	1	4	2.71651425497579	1.47247524752475
GO:0010557	positive regulation of macromolecule biosynthetic process	BP	N0.HOG0000042	3	0.00101874	1	1	2	1.50726196880043	1.32690935046395
GO:0010557	positive regulation of macromolecule biosynthetic process	BP	N0.HOG0000108	8	0.000943866	1	1	2	1.50726196880043	1.32690935046395
GO:0010558	negative regulation of macromolecule biosynthetic process	BP	N0.HOG0000042	3	0.00101874	1	1	3	1.51909628832706	1.97485835694051
GO:0010558	negative regulation of macromolecule biosynthetic process	BP	N0.HOG0000155	2	0.00304223	1	1	3	1.51909628832706	1.97485835694051
GO:0010558	negative regulation of macromolecule biosynthetic process	BP	N0.HOG0000814	2	0.00304223	1	1	3	1.51909628832706	1.97485835694051
GO:0010604	positive regulation of macromolecule metabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	3	2.07208176438946	1.44781931464174
GO:0010604	positive regulation of macromolecule metabolic process	BP	N0.HOG0000108	8	0.000943866	1	1	3	2.07208176438946	1.44781931464174
GO:0010604	positive regulation of macromolecule metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	3	2.07208176438946	1.44781931464174
GO:0010605	negative regulation of macromolecule metabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	3	1.83969876277569	1.63070175438597
GO:0010605	negative regulation of macromolecule metabolic process	BP	N0.HOG0000155	2	0.00304223	1	1	3	1.83969876277569	1.63070175438597
GO:0010605	negative regulation of macromolecule metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	3	1.83969876277569	1.63070175438597
GO:0010638	positive regulation of organelle organization	BP	N0.HOG0000814	2	0.00304223	1	1	1	0.500268961807423	1.9989247311828
GO:0010639	negative regulation of organelle organization	BP	N0.HOG0000155	2	0.00304223	1	1	2	0.369015599784831	5.4198250728863
GO:0010639	negative regulation of organelle organization	BP	N0.HOG0000814	2	0.00304223	1	1	2	0.369015599784831	5.4198250728863
GO:0010646	regulation of cell communication	BP	N0.HOG0000042	3	0.00101874	1	1	1	2.05917159763314	0.485632183908046
GO:0010647	positive regulation of cell communication	BP	N0.HOG0000042	3	0.00101874	1	1	1	1.09736417428725	0.911274509803922
GO:0010817	regulation of hormone levels	BP	N0.HOG0000814	2	0.00304223	1	1	1	0.361484669176977	2.76636904761905
GO:0012501	programmed cell death	BP	N0.HOG0000042	3	0.00101874	1	1	1	1.22538999462076	0.816066725197542
GO:0015031	protein transport	BP	N0.HOG0000042	3	0.00101874	1	1	1	1.10704679935449	0.903304178814383
GO:0015980	energy derivation by oxidation of organic compounds	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.28617536309844	3.49436090225564
GO:0016043	cellular component organization	BP	N0.HOG0000042	3	0.00101874	1	1	4	4.21839698762776	0.948227492986483
GO:0016043	cellular component organization	BP	N0.HOG0000108	8	0.000943866	1	1	4	4.21839698762776	0.948227492986483
GO:0016043	cellular component organization	BP	N0.HOG0000155	2	0.00304223	1	1	4	4.21839698762776	0.948227492986483
GO:0016043	cellular component organization	BP	N0.HOG0000814	2	0.00304223	1	1	4	4.21839698762776	0.948227492986483
GO:0016053	organic acid biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	2	0.204410973641743	9.78421052631579
GO:0016053	organic acid biosynthetic process	BP	N0.HOG0000162	2	0.00695568	1	1	2	0.204410973641743	9.78421052631579
GO:0016070	RNA metabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	3	2.69499731038193	1.11317365269461
GO:0016070	RNA metabolic process	BP	N0.HOG0000155	2	0.00304223	1	1	3	2.69499731038193	1.11317365269461
GO:0016070	RNA metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	3	2.69499731038193	1.11317365269461
GO:0016071	mRNA metabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	1	0.665949435180204	1.5016155088853
GO:0016072	rRNA metabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	1	0.250672404518558	3.9892703862661
GO:0016101	diterpenoid metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	1	0.0322754168908015	30.9833333333333
GO:0016125	sterol metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.105433028509952	9.48469387755102
GO:0016126	sterol biosynthetic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.0688542227003765	14.5234375
GO:0016192	vesicle-mediated transport	BP	N0.HOG0000155	2	0.00304223	1	1	1	1.20925228617536	0.826957295373666
GO:0016567	protein ubiquitination	BP	N0.HOG0000042	3	0.00101874	1	1	1	0.444324905863367	2.25060532687651
GO:0018193	peptidyl-amino acid modification	BP	N0.HOG0000814	2	0.00304223	1	1	1	0.750941366325982	1.33166189111748
GO:0018205	peptidyl-lysine modification	BP	N0.HOG0000814	2	0.00304223	1	1	1	0.293706293706294	3.4047619047619
GO:0018394	peptidyl-lysine acetylation	BP	N0.HOG0000814	2	0.00304223	1	1	1	0.166756320602474	5.99677419354839
GO:0018904	ether metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.013986013986014	71.5
GO:0019216	regulation of lipid metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.28617536309844	3.49436090225564
GO:0019218	regulation of steroid metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	1	0.0860677783754707	11.61875
GO:0019219	regulation of nucleobase-containing compound metabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	3	2.21839698762776	1.35232783705141
GO:0019219	regulation of nucleobase-containing compound metabolic process	BP	N0.HOG0000155	2	0.00304223	1	1	3	2.21839698762776	1.35232783705141
GO:0019219	regulation of nucleobase-containing compound metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	3	2.21839698762776	1.35232783705141
GO:0019222	regulation of metabolic process	BP	N0.HOG0000042	3	0.00101874	1	1	6	3.56320602474449	1.6838768115942
GO:0019222	regulation of metabolic process	BP	N0.HOG0000108	8	0.000943866	1	1	6	3.56320602474449	1.6838768115942
GO:0019222	regulation of metabolic process	BP	N0.HOG0000114	6	2.43212e-08	1	1	6	3.56320602474449	1.6838768115942
GO:0019222	regulation of metabolic process	BP	N0.HOG0000155	2	0.00304223	1	1	6	3.56320602474449	1.6838768115942
GO:0019222	regulation of metabolic process	BP	N0.HOG0000504	3	8.39423e-05	1	1	6	3.56320602474449	1.6838768115942
GO:0019222	regulation of metabolic process	BP	N0.HOG0000814	2	0.00304223	1	1	6	3.56320602474449	1.6838768115942
GO:0019368	fatty acid elongation, unsaturated fatty acid	BP	N0.HOG0000162	2	0.00695568	1	1	1	0.00537923614846692	185.9
