species	term	gene
pd	map04024	LOC107064097
pd	map04520	LOC107064097
pd	map04530	LOC107064097
pd	map04670	LOC107064097
pd	map04120	LOC107064100
pd	map04214	LOC107064100
pd	map04215	LOC107064100
pd	map04922	LOC107064102
pd	map04144	LOC107064106
pd	map04934	LOC107064114
pd	map05202	LOC107064114
pd	map04066	LOC107064116
pd	map04120	LOC107064116
pd	map05200	LOC107064116
pd	map05211	LOC107064116
pd	map04120	LOC107064119
pd	map04013	LOC107064121
pd	map00480	LOC107064124
pd	map00590	LOC107064124
pd	map04216	LOC107064124
pd	map04918	LOC107064124
pd	map00630	LOC107064127
pd	map01100	LOC107064127
pd	map01110	LOC107064127
pd	map01130	LOC107064127
pd	map01200	LOC107064127
pd	map04080	LOC107064128
pd	map04723	LOC107064128
pd	map04727	LOC107064128
pd	map04742	LOC107064128
pd	map05032	LOC107064128
pd	map05033	LOC107064128
pd	map03010	LOC107064132
pd	map04015	LOC107064133
pd	map04670	LOC107064133
pd	map04145	LOC107064134
pd	map04540	LOC107064134
pd	map05130	LOC107064134
pd	map03013	LOC107064135
pd	map03040	LOC107064135
pd	map04974	LOC107064136
pd	map00190	LOC107064137
pd	map01100	LOC107064137
pd	map04714	LOC107064137
pd	map04723	LOC107064137
pd	map04932	LOC107064137
pd	map05010	LOC107064137
pd	map05012	LOC107064137
pd	map05016	LOC107064137
pd	map04923	LOC107064138
pd	map03015	LOC107064140
pd	map04020	LOC107064142
pd	map04910	LOC107064142
pd	map04922	LOC107064142
pd	map03010	LOC107064143
pd	map04068	LOC107064145
pd	map04110	LOC107064145
pd	map04151	LOC107064145
pd	map04218	LOC107064145
pd	map04350	LOC107064145
pd	map05165	LOC107064145
pd	map05203	LOC107064145
pd	map01522	LOC107064146
pd	map04320	LOC107064146
pd	map04330	LOC107064146
pd	map04371	LOC107064146
pd	map04658	LOC107064146
pd	map04919	LOC107064146
pd	map05020	LOC107064146
pd	map05165	LOC107064146
pd	map05200	LOC107064146
pd	map05206	LOC107064146
pd	map05224	LOC107064146
pd	map04550	LOC107064147
pd	map04144	LOC107064149
pd	map03460	LOC107064150
pd	map00920	LOC107064153
pd	map01100	LOC107064153
pd	map01120	LOC107064153
pd	map01130	LOC107064153
pd	map00900	LOC107064155
pd	map01100	LOC107064155
pd	map01110	LOC107064155
pd	map04146	LOC107064155
pd	map03013	LOC107064158
pd	map05134	LOC107064158
pd	map04340	LOC107064159
pd	map04341	LOC107064159
pd	map00190	LOC107064161
