term	gene
map05206	N13.HOG0001553
map05216	N13.HOG0001553
map05410	N13.HOG0001553
map05414	N13.HOG0001553
map03040	N13.HOG0001558
map00480	N13.HOG0001580
map00980	N13.HOG0001580
map00982	N13.HOG0001580
map00983	N13.HOG0001580
map01524	N13.HOG0001580
map05200	N13.HOG0001580
map05204	N13.HOG0001580
map05225	N13.HOG0001580
map05418	N13.HOG0001580
map00480	N13.HOG0001582
map00980	N13.HOG0001582
map00982	N13.HOG0001582
map00983	N13.HOG0001582
map01524	N13.HOG0001582
map05200	N13.HOG0001582
map05204	N13.HOG0001582
map05225	N13.HOG0001582
map05418	N13.HOG0001582
map00480	N13.HOG0001584
map00980	N13.HOG0001584
map00982	N13.HOG0001584
map00983	N13.HOG0001584
map01524	N13.HOG0001584
map05200	N13.HOG0001584
map05204	N13.HOG0001584
map05225	N13.HOG0001584
map05418	N13.HOG0001584
map04022	N13.HOG0001592
map04024	N13.HOG0001592
map04260	N13.HOG0001592
map04261	N13.HOG0001592
map04911	N13.HOG0001592
map04918	N13.HOG0001592
map04919	N13.HOG0001592
map04925	N13.HOG0001592
map04960	N13.HOG0001592
map04961	N13.HOG0001592
map04964	N13.HOG0001592
map04970	N13.HOG0001592
map04971	N13.HOG0001592
map04972	N13.HOG0001592
map04973	N13.HOG0001592
map04974	N13.HOG0001592
map04976	N13.HOG0001592
map04978	N13.HOG0001592
map04022	N13.HOG0001593
map04024	N13.HOG0001593
map04260	N13.HOG0001593
map04261	N13.HOG0001593
map04911	N13.HOG0001593
map04918	N13.HOG0001593
map04919	N13.HOG0001593
map04925	N13.HOG0001593
map04960	N13.HOG0001593
map04961	N13.HOG0001593
map04964	N13.HOG0001593
map04970	N13.HOG0001593
map04971	N13.HOG0001593
map04972	N13.HOG0001593
map04973	N13.HOG0001593
map04974	N13.HOG0001593
map04976	N13.HOG0001593
map04978	N13.HOG0001593
map04022	N13.HOG0001594
map04024	N13.HOG0001594
map04260	N13.HOG0001594
map04261	N13.HOG0001594
map04911	N13.HOG0001594
map04918	N13.HOG0001594
map04919	N13.HOG0001594
map04925	N13.HOG0001594
map04960	N13.HOG0001594
map04961	N13.HOG0001594
map04964	N13.HOG0001594
map04970	N13.HOG0001594
map04971	N13.HOG0001594
map04972	N13.HOG0001594
map04973	N13.HOG0001594
map04974	N13.HOG0001594
map04976	N13.HOG0001594
map04978	N13.HOG0001594
map04022	N13.HOG0001595
map04024	N13.HOG0001595
map04260	N13.HOG0001595
map04261	N13.HOG0001595
map04911	N13.HOG0001595
map04918	N13.HOG0001595
map04919	N13.HOG0001595
map04925	N13.HOG0001595
map04960	N13.HOG0001595
map04961	N13.HOG0001595
map04964	N13.HOG0001595
map04970	N13.HOG0001595
map04971	N13.HOG0001595
map04972	N13.HOG0001595
map04973	N13.HOG0001595
map04974	N13.HOG0001595
map04976	N13.HOG0001595
map04978	N13.HOG0001595
map04145	N13.HOG0001620
map04540	N13.HOG0001620
map05130	N13.HOG0001620
map04145	N13.HOG0001621
map04540	N13.HOG0001621
map05130	N13.HOG0001621
map04145	N13.HOG0001624
map04540	N13.HOG0001624
map05130	N13.HOG0001624
map04110	N13.HOG0001627
map04111	N13.HOG0001627
map04113	N13.HOG0001627
map04114	N13.HOG0001627
map04151	N13.HOG0001627
map04510	N13.HOG0001627
