XM_015318023.1	LOC107064846	LOC107064846
XM_015317957.1	LOC107064846	LOC107064846
XM_015317976.1	LOC107064846	LOC107064846
XM_015318032.1	LOC107064846	LOC107064846
XM_015318235.1	LOC107064988	LOC107064988
XM_015318243.1	LOC107064988	LOC107064988
XM_015318257.1	LOC107064999	LOC107064999
XM_015332335.1	LOC107070209	LOC107070209
XM_015335529.1	LOC107074068	LOC107074068
XM_015318695.1	LOC107065217	LOC107065217
XM_015318705.1	LOC107065223	LOC107065223
XM_015317455.1	LOC107064600	LOC107064600
XM_015317465.1	LOC107064600	LOC107064600
XM_015317474.1	LOC107064600	LOC107064600
XM_015317483.1	LOC107064600	LOC107064600
XM_015317492.1	LOC107064600	LOC107064600
XM_015318672.1	LOC107065208	LOC107065208
XM_015318681.1	LOC107065208	LOC107065208
XM_015316292.1	LOC107064039	LOC107064039
XM_015316314.1	LOC107064056	LOC107064056
XM_015316303.1	LOC107064048	LOC107064048
XM_015316328.1	LOC107064060	LOC107064060
XM_015318837.1	LOC107065285	LOC107065285
XM_015317175.1	LOC107064316	LOC107064316
XM_015317095.1	LOC107064316	LOC107064316
XM_015317015.1	LOC107064316	LOC107064316
XM_015316928.1	LOC107064316	LOC107064316
XM_015316536.1	LOC107064137	LOC107064137
XM_015318879.1	LOC107065301	LOC107065301
XM_015334895.1	LOC107073937	LOC107073937
XM_015334905.1	LOC107073937	LOC107073937
XM_015334918.1	LOC107073946	LOC107073946
XM_015334944.1	LOC107073961	LOC107073961
XM_015334931.1	LOC107073955	LOC107073955
XM_015334955.1	LOC107073967	LOC107073967
XM_015334964.1	LOC107073967	LOC107073967
XM_015334976.1	LOC107073978	LOC107073978
XM_015335021.1	LOC107074002	LOC107074002
XM_015335013.1	LOC107074002	LOC107074002
XM_015335002.1	LOC107073993	LOC107073993
XM_015335034.1	LOC107074019	LOC107074019
XM_015335043.1	LOC107074025	LOC107074025
XM_015334989.1	LOC107073986	LOC107073986
XM_015317687.1	LOC107064696	LOC107064696
XM_015315951.1	LOC107063614	LOC107063614
XM_015317699.1	LOC107064702	LOC107064702
XM_015317579.1	LOC107064635	LOC107064635
XM_015317219.1	LOC107064296	LOC107064296
XR_001475469.1	LOC107064325	LOC107064325
XR_001475470.1	LOC107064325	LOC107064325
XM_015316907.1	LOC107064325	LOC107064325
XR_001475638.1	LOC107065728	LOC107065728
XM_015318356.1	LOC107065050	LOC107065050
XM_015318373.1	LOC107065050	LOC107065050
