Node	HOG	change	pvalue	direction	significant
Polistes_canadensis	N0.HOG0000017	-5	0.00186498	contraction	TRUE
Polistes_canadensis	N0.HOG0000049	-4	0.00585572	contraction	TRUE
Polistes_canadensis	N0.HOG0000038	-4	0.00974881	contraction	TRUE
Polistes_canadensis	N0.HOG0000050	-3	0.0189719	contraction	TRUE
Polistes_canadensis	N0.HOG0000105	-2	0.149565	contraction	FALSE
Polistes_canadensis	N0.HOG0000004	-2	0.211706	contraction	FALSE
Polistes_canadensis	N0.HOG0000056	-2	0.325124	contraction	FALSE
Polistes_canadensis	N0.HOG0000003	1	0.464193	expansion	FALSE
Polistes_canadensis	N0.HOG0000060	-1	0.595555	contraction	FALSE
Polistes_dominula	N0.HOG0000291	-1		contraction	FALSE
Polistes_dominula	N0.HOG0000060	11	0.000686053	expansion	TRUE
Polistes_dominula	N0.HOG0000017	-6	0.00110398	contraction	TRUE
Polistes_dominula	N0.HOG0000041	-6	0.00110398	contraction	TRUE
Polistes_dominula	N0.HOG0000096	-6	0.00293701	contraction	TRUE
Polistes_dominula	N0.HOG0000122	6	0.00993387	expansion	TRUE
Polistes_dominula	N0.HOG0000951	-5	0.0134466	contraction	TRUE
Polistes_dominula	N0.HOG0000038	-4	0.022622	contraction	TRUE
Polistes_dominula	N0.HOG0000001	5	0.0228469	expansion	TRUE
Polistes_dominula	N0.HOG0000018	5	0.0228469	expansion	TRUE
Polistes_dominula	N0.HOG0000128	-3	0.0238689	contraction	TRUE
Polistes_dominula	N0.HOG0000002	-4	0.03164	contraction	TRUE
Polistes_dominula	N0.HOG0000056	5	0.0795472	expansion	FALSE
Polistes_dominula	N0.HOG0002570	-2	0.193221	contraction	FALSE
Polistes_dominula	N0.HOG0000047	-2	0.284022	contraction	FALSE
